"1"   ,"abang"        ,"kakak laki-laki"
"2"   ,"abah"           ,"ayah"
"3"   ,"abet"          ,"merah"
4   ,abar           ,menguap atau zat cair
5   ,ables          ,melesak
6   ,abrit          ,merah
7   ,abuh           ,bengkak
8   ,abyor          ,bertebaran memenuhi misalnya bintang bertebaran memenuhi langit
9   ,acung          ,menunjuk ke atas atau unjuk jari
10  ,ada-ada        ,inisiatif
11  ,adang          ,menanak nasi
12  ,adas           ,nama tanaman
13  ,adhang         ,menunggu di tempat yang akan dilewati
14  ,adhem          ,dingin
15  ,adhep          ,hadap
16  ,adhi           ,adik
17  ,adi            ,bernilai tinggi mempunyai kelebihan
18  ,adil           ,adil
19  ,adoh           ,jauh
20  ,adol           ,menjual
21  ,adu            ,adu
22  ,adus           ,mandi
23  ,agama          ,besar; agung
24  ,agem           ,pakai
25  ,ageman         ,pakaian
26  ,ageng          ,besar
27  ,agni           ,api
28  ,agul-agul      ,andalan atau jagoan
29  ,agung          ,api
30  ,aja            ,jangan
31  ,ajag           ,anjing hutan
32  ,ajak           ,ajak
33  ,ajang          ,wadah
34  ,ajar           ,ajar atau belajar
35  ,ajeg           ,tetap
36  ,ajeng          ,akan
37  ,aji            ,nilai atau harga
38  ,ajur           ,hancur
39  ,akas           ,alon
40  ,akas           ,perai atau keras biasanya tempat untuk nasi
41  ,ala            ,buruk
42  ,alangan        ,halangan
43  ,alas           ,hutan
44  ,alem           ,puji
45  ,aleman         ,manja
46  ,alesan         ,alasan
47  ,aling-aling    ,bersembunyi di balik
48  ,alis           ,alis
49  ,alok           ,berkata
50  ,alu            ,antan
51  ,alum           ,layu
52  ,alun-alun      ,lapangan di tengah kota
53  ,alus           ,halus
54  ,aluwung        ,lebih baik
55  ,ama            ,hama
56  ,aman           ,aman
57  ,amarga         ,karena
58  ,amargi         ,karena
59  ,amba           ,lebar atau luas
60  ,ambah          ,jejak atau jelajah atau datangi
61  ,ambal          ,ulang
62  ,ambar          ,tersebar digunakan untuk bau harum
63  ,ambeg          ,berwatak
64  ,amben          ,balai-balai
65  ,amber          ,meluap digunakan untuk air
66  ,ambet          ,bau
67  ,amblas         ,lenyap seketika
68  ,ambrol         ,runtuh
69  ,ambruk         ,tumbang atau roboh
70  ,ambu           ,bau
71  ,ambung         ,cium
72  ,ambus          ,endus
73  ,ambyuk         ,menjatuhkan diri
74  ,ambyur         ,mencemplungkan diri ke dalam air
75  ,amek           ,mencari
76  ,amem           ,melempem
77  ,amem           ,sunyi
78  ,amis           ,anyir
79  ,ampak-ampak    ,kepulan debu
80  ,ampas          ,ampas
81  ,ampek          ,sulit bernafas atau sesak untuk dada
82  ,ampil-ampil    ,pinjam
83  ,amping-amping  ,berlindung di balik sesuatu
84  ,ampo           ,nama jajanan terbuat dari tanah jenis tertentu
85  ,amrih          ,agar atau supaya
86  ,anak           ,anak
87  ,ancang-ancang  ,persiapan atau mengambil kuda-kuda
88  ,ancas          ,tujuan
89  ,ancer-ancer    ,prakiraan atau ancar-ancar
90  ,ancik          ,menginjak
91  ,ancur          ,air raksa
92  ,anda           ,tangga
93  ,andaka         ,banteng
94  ,andhang        ,tangga kayu berkaki empat
95  ,andhap         ,bagian bawah atau rendah
96  ,andheng-andheng,tahi lalat
97  ,andhong        ,sejenis kereta kuda
98  ,andika         ,anda
99  ,andum          ,berbagi
100 ,aneh           ,aneh
101 ,anom           ,muda
102 ,angen-angen    ,pemikiran atau ingatan
103 ,anget          ,hangat
104 ,angga          ,tubuh
105 ,anggak         ,sombong
106 ,anggara        ,selasa
107 ,anggarbini     ,hamil
108 ,anggep         ,anggap
109 ,angger         ,asalkan
110 ,angger-angger  ,peraturan
111 ,anggon         ,tempat
112 ,anggur         ,anggur
113 ,angin          ,angin
114 ,angin-angin    ,mencari udara
115 ,angkah         ,maksud
116 ,angkara        ,angkara
117 ,angker         ,angker
118 ,angler         ,nyenyak
119 ,angluh         ,dengan penuh rasa tidak berdaya mengahadapi situasi yang ada
120 ,angon          ,mengembala
121 ,angop          ,menguap
122 ,angsal         ,dapat
123 ,angsla         ,nama minuman
124 ,angslup        ,tenggelam
125 ,angur          ,masih lebih baik
126 ,angus          ,angus
127 ,anjlok         ,turun tiba-tiba
128 ,anjok          ,tiba di
129 ,anom           ,muda
130 ,antawecana     ,Penggambaran sinopsis cerita atau adegan
131 ,antem          ,pukul atau hantam
132 ,anteng         ,tenang
133 ,antop          ,bersendawa
134 ,antuk          ,dapat
135 ,anyang         ,tawar harga
136 ,anyang-anyangen,merasa seperti ingin kencing
137 ,anyar          ,baru
138 ,anyel          ,jengkel
139 ,anyep          ,dingin pada tubuh atau bagian tubuh
140 ,anyep          ,tawar
141 ,anyes          ,dingin untuk benda
142 ,apa            ,apa
143 ,apal           ,hafal
144 ,apek           ,bau tidak sedap yang berasal dari barang usang atau kamar yang lama tertutup
145 ,apem           ,apam
146 ,apes           ,sial
147 ,api-api        ,pura-pura
148 ,apik           ,baik
149 ,apu            ,kapur sirih;
150 ,apura          ,maaf
151 ,apus           ,sejenis bambu
152 ,apus           ,bohong
153 ,ara-ara        ,padang
154 ,arah           ,arah
155 ,aran           ,nama
156 ,arang          ,jarang
157 ,arang-arang    ,jarang
158 ,aren           ,enau
159 ,areng          ,arang
160 ,arep           ,hendak
161 ,arga           ,gunung
162 ,ari            ,adik
163 ,ari-ari        ,tali pusat
164 ,aris           ,lugas
165 ,arit           ,sabit
166 ,arsa           ,akan atau depan
167 ,arta           ,uang
168 ,aruh-aruh      ,menyapa
169 ,arus           ,anyir
170 ,arwah          ,arwah
171 ,asah           ,asah
172 ,asal           ,asal
173 ,asat           ,habis airnya  digunakan untuk sunga atau danau
174 ,asem           ,asam untuk buah
175 ,asih           ,kasih
176 ,asin           ,asin
177 ,asma           ,nama
178 ,asmara         ,asmara
179 ,asmarandana    ,nama metrum macapat
180 ,asor           ,kalah
181 ,asor           ,nista
182 ,asrep          ,dingin
183 ,asrep          ,dingin
184 ,asri           ,menyenangkan untuk dipandang
185 ,asta           ,tangan
186 ,asta           ,bawa
187 ,asu            ,anjing
188 ,asung          ,menghaturkan
189 ,ati            ,hati
190 ,ati-ati        ,hati-hati
191 ,atis           ,dingin untuk hawa atau udara
192 ,atos           ,keras
193 ,atur           ,atur
194 ,aturi          ,beri atau persilakan
195 ,atus           ,tidak lagi mengandung air
196 ,awak           ,badan atautubuh
197 ,awan           ,siang
198 ,awang          ,berhitung tanpa alat bantu
199 ,awang-awang    ,langit bebas
200 ,awas           ,awas
201 ,awas           ,tajam untuk penglihatan
202 ,aweh           ,beri
203 ,awet           ,tidak cepat rusak
204 ,awis           ,mahal
205 ,awis-awis      ,jarang
206 ,awit           ,karena
207 ,awoh           ,berbuah
208 ,awon-awon      ,jelek atau buruk
209 ,awor           ,bercampur dengan
210 ,awrat          ,berat
211 ,awu            ,abu
212 ,awur           ,sebar
213 ,awur           ,asal-asalan
214 ,awut           ,membuat berantakan
215 ,ayahan         ,kewajiban
216 ,ayam           ,ayam
217 ,ayem           ,tentramuntuk hati
218 ,ayo            ,ayo
219 ,ayom           ,perlindungan
220 ,ayu            ,cantik
221 ,away           ,jangan
222 ,bab            ,bab
223 ,babad          ,cerita sejarah
224 ,babagan        ,tentang
225 ,babak-bundhas  ,babak-belur
226 ,babal          ,putik buah nangka
227 ,babar          ,menjadi banyak
228 ,babaran        ,bersalin
229 ,babat          ,bagian dalam usus sapi
230 ,babat          ,tebang
231 ,babit          ,mengayunkan benda dengan menahan ujungnya
232 ,babon          ,induk ayam
233 ,babu           ,perempuan pembantu
234 ,babut          ,permadani
235 ,bacem          ,peram untuk dimasak dengan bumbu tertentu
236 ,bacin          ,bau bangkai
237 ,bacut          ,lanjut
238 ,badan          ,diri
239 ,badhek         ,tebak
240 ,badhe          ,akan
241 ,badheg         ,bau busuk
242 ,badhik         ,air tapai
243 ,badhug         ,tembok rendah untuk meletakkan sesuatu
244 ,bagaskara      ,matahari
245 ,bagus          ,tampan
246 ,bahu           ,100 m2
247 ,bahu           ,bahu atau tenaga
248 ,bahureksa      ,penguasa
249 ,bajang         ,kerdil
250 ,bajing         ,tupai
251 ,bajul          ,buaya
252 ,bakal          ,bahan pakaian
253 ,bakal          ,akan
254 ,bakar          ,bakar
255 ,bakda          ,setelah
256 ,bakul          ,pedagang
257 ,balang         ,lempar
258 ,bale           ,rumah atau bangunan
259 ,balen          ,rujuk
260 ,bali           ,pulang
261 ,balung         ,tulang
262 ,banaspati      ,hantu berbentuk api
263 ,banda          ,mengikat kedua tangan ke belakang
264 ,bandan         ,tawanan
265 ,bandar         ,agen besar
266 ,bandar         ,pelabuhan
267 ,bandayuda      ,berperang
268 ,bandha         ,harta
269 ,bandhul        ,bandul
270 ,banger         ,bau busuk misalnya dari air keruh
271 ,banget         ,sangat
272 ,bangga         ,meronta
273 ,bangir         ,mancung
274 ,bangka         ,mati
275 ,bangkai        ,bangkai
276 ,bangkukan      ,pinggang
277 ,buntelan       ,buntalan besar
278 ,bangku         ,bangku
279 ,bangsa         ,bangsa
280 ,banon          ,batu bata
281 ,bantah         ,bantah
282 ,bantal         ,bantal
283 ,bantala        ,tanah
284 ,banting        ,banting
285 ,banyak         ,angsa
286 ,banyu          ,air
287 ,bapa           ,bapa atau ayah
288 ,bapang         ,parit atau genangan air
289 ,bar            ,selesai
290 ,barang         ,barang
291 ,barang         ,pertunjukan kesenian berkeliling
292 ,barat          ,angin
293 ,barep          ,sulung
294 ,bares          ,terus terang
295 ,baris          ,baris
296 ,baruna         ,dewa lautan
297 ,barung         ,besar atau utama
298 ,baskara        ,matahari
299 ,bata           ,bata
300 ,batang         ,tebak
301 ,bathang        ,bangkai
302 ,bathara        ,sebutan untuk dewa
303 ,bathari        ,sebutan untuk dewi
304 ,bathi          ,keuntungan
305 ,bathok         ,tempurung
306 ,bathuk         ,dahi
307 ,batih          ,keluarga
308 ,baut           ,pintar; trampil
309 ,bawa           ,pembukaan gending
310 ,bawang         ,bawang
311 ,bawang lanang  ,bawang berumbi tunggal
312 ,bawel          ,nyinyir
313 ,bawira         ,subur digunakan untuk lahan
314 ,bawuk          ,kelamin perempuan
315 ,baya           ,buaya
316 ,bayan          ,petugas keamanan desa
317 ,bayar          ,bayar
318 ,bayem          ,bayam
319 ,babaran        ,melahirkan
320 ,bayi           ,bayi
321 ,bayu           ,angin
322 ,bebana         ,permintaan sebagai syarat
323 ,bebandan       ,tawanan
324 ,bebasan        ,seperti atau layaknya
325 ,bebaya         ,bahaya
326 ,bebayu         ,otot
327 ,bebed          ,kain panjang yang dipakai pria
328 ,bebedhag       ,berburu
329 ,bebek          ,itik
330 ,bebendhu       ,hukuman
331 ,bebrayan       ,berkeluarga
332 ,bebucal        ,berhajat besar
333 ,bebudhen       ,kepribadian
334 ,bebungah       ,hadiah
335 ,bebuwang       ,berhajat besar
336 ,becik          ,baik
337 ,becus          ,mampu
338 ,boda           ,goda
339 ,beda           ,berbeda
340 ,bedaya         ,tarian sakral yang menjadi ciri khas keraton
341 ,bedhah         ,terbuka paksa
342 ,bedhidhing     ,udara dingin di musim kemarau
343 ,bedhigasan     ,tingkahnya tidak karuan atau tidak bisa diam
344 ,begawan        ,pendeta
345 ,begundhal      ,kaki-tangan
346 ,beja           ,beruntung
347 ,bejat          ,rusak
348 ,beka           ,meronta
349 ,bekasakan      ,hantu hutan
350 ,beksa          ,tari
351 ,beksan         ,tarian
352 ,bekti          ,bakti
353 ,belang         ,belang
354 ,belek          ,kotoran mata
355 ,belek          ,iris sepanjang garis tengah
356 ,belik          ,sumber air
357 ,beling         ,kaca
358 ,bena           ,banjir
359 ,bendara        ,majikan
360 ,bendha         ,nama pohon
361 ,bendhe         ,gong kecil
362 ,bendhel        ,ikatan
363 ,bendho         ,alat pemotong bisa sejenis celurit
364 ,bendhol        ,bengkak
365 ,bener          ,benar
366 ,bengawan       ,sungai
367 ,bengep         ,sembab
368 ,bengi          ,malam
369 ,bengkok        ,tanah yang hak garapnya diberikan kepada lurah sebagai bagian dari fasilitas jabatan
370 ,benik          ,kancing baju
371 ,bening         ,jernih
372 ,benjut         ,menjadi empuk karena tekanan atau hantaman
373 ,beras          ,beras
374 ,beriring       ,luka di sudut bibir
375 ,beret          ,tergores
376 ,besar          ,nama bulan dalam kalender jawa
377 ,beser          ,sebentar-sebentar kencing
378 ,beset          ,sayat
379 ,besmi          ,bakar
380 ,besus          ,pandai atau trampil
381 ,beta           ,bawa
382 ,betah          ,betah atau enggan pergi
383 ,betah          ,butuh
384 ,bethek         ,pintu pagar
385 ,beton          ,biji nangka
386 ,beya           ,biaya
387 ,binarung       ,seiring; diiringi
388 ,bingar         ,ceria
389 ,binggel        ,gelang kaki
390 ,bingget        ,tanda dikulit akbiat jepitan atau lilitan yang ketat
391 ,biyen          ,dahulu
392 ,blaka          ,berterus terang
393 ,blalak-blalak  ,membeliak atau besar digunakan untuk mata
394 ,blanak         ,jenis ikan
395 ,blarak         ,daun kelapa kering
396 ,blatar         ,ramah atau mudah bergaul
397 ,bledhug        ,guntur
398 ,bledheh        ,terbuka kancingnya untuk baju
399 ,bledru         ,salah pilih atau tertukar karena mirip
400 ,blencong       ,lampu minyak untuk penerangan dalam pagelaran wayang kulit
401 ,blendrang      ,sisa masakan bersantan yeng sudah dipanaskan berkali-kali
402 ,blereng        ,tidak nampak jelas; kabur
403 ,blesek         ,membenamkan ke dalam tumpukan
404 ,blirik         ,berbintik kecil  misalnya panci
405 ,bloloken       ,silau
406 ,blondho        ,endapan yang dihasilkan dalam pembuatan minyak kelapa
407 ,blorok         ,bulunya berbintik hitam putih untuk ayam betina
408 ,bluluk         ,buah kelapa yang masih sebesar telur
409 ,bocah          ,anak
410 ,bodho          ,bodoh
411 ,bodong         ,pusar yang menonjol keluar
412 ,boga           ,pangan
413 ,bojo           ,suami atau isteri
414 ,bokong         ,pantat
415 ,bokor          ,mangkuk besar
416 ,bolong         ,berlubang
417 ,bolot          ,daki
418 ,bonang         ,alat musik pukul atau bagian dari gamelan
419 ,bong           ,makam Cina
420 ,bong           ,tukang khitan
421 ,bong           ,bakar
422 ,borok          ,luka lama
423 ,boyong         ,pindah
424 ,brabak         ,berubah merah biasanya pada wajah
425 ,brahala        ,raksasa sebesar gunung
426 ,brahmana       ,pendeta
427 ,bramantya      ,marah atau kemarahan
428 ,brambang       ,bawang merah
429 ,brangasn       ,mudah marah
430 ,branta         ,asmara
431 ,brastha        ,berantas
432 ,brewok         ,bercambang
433 ,brindhil       ,habis jarena dicabuti
434 ,brobos         ,masuk melalui celah atau kolong
435 ,brodhol        ,terlepas ikatannya
436 ,brojol         ,keluar sebelum waktunya atau keluar dari bungkusan
437 ,brongkos       ,nama masakan
438 ,brudhul        ,keluar berama-ramai atau berbarengan
439 ,brukut         ,terbungkus rapat
440 ,brutu          ,tunggir ayam
441 ,bubar          ,bubar atau selesai
442 ,bubul          ,semacam bisul di telapak kaki
443 ,bubur          ,bubur
444 ,bubut          ,mencabuti
445 ,buda           ,rabu
446 ,budeg          ,tuli
447 ,budeng         ,kera hitam
448 ,bujana         ,hidangan
449 ,bujel          ,tumpul
450 ,bulak          ,daerah terbuka atau padang
451 ,bulak          ,pudar warnanya
452 ,bulan          ,bulan
453 ,bumbu          ,bumbu atau rempah-rempah
454 ,bumbung        ,tempat berbentuk pipa besar atau terbuat dari bambu
455 ,bumpet         ,tersumbat
456 ,bunder         ,bundar
457 ,bundhas        ,melecet atau cedera
458 ,bundhel        ,ujungnya membulat
459 ,bundhet        ,diberi ikatan mati pada ujungnya misalnya benang
460 ,bung           ,rebung
461 ,bungah         ,gembira
462 ,bungkem        ,diam atautidak mau mengatakan apa-apa
463 ,bungkik        ,kerdil
464 ,bungkil        ,ampas minyak kacang
465 ,bungkus        ,bungkus
466 ,bungur         ,nama tanaman
467 ,buntel         ,bungkus
468 ,buntet         ,buntu atau tidak berongga
469 ,buntil         ,masakan terbuat dari kelapa muda dan ikan teri serta daun keladi sebagai pembungkus
470 ,buntu          ,buntu
471 ,buntung        ,hilang atau patah bagian ujungnya
472 ,burek          ,legap
473 ,bureng         ,tidak jelas terlihat
474 ,buri           ,belakang
475 ,burik          ,bopeng
476 ,buru           ,kejar
477 ,buruh          ,bekerja untuk orang lain
478 ,busana         ,pakaian
479 ,busana         ,berpakaian
480 ,buthak         ,botak
481 ,buthuk         ,membusuk misalnya ikan
482 ,buwang         ,buang
483 ,buyut          ,cicit
484 ,buyuten        ,bagian tubuhnya bergerak-gerak tidak terkendali karena ketuaan
485 ,cabar          ,kehilangan arti
486 ,cabe           ,nama rempah untuk jamu
487 ,cacat          ,cacat
488 ,cadhong        ,menadahkan tangan
489 ,cagak          ,tongkat atau penyangga
490 ,cakepan        ,lirik lagu
491 ,cakot          ,gigit
492 ,cakra          ,senjata dalam pewayangan; lingkaran
493 ,cambah         ,tauge
494 ,campur         ,campur
495 ,candala        ,jahat
496 ,candhik kala   ,semburat merah di langit pada saat senja hari
497 ,candra         ,bulan
498 ,candra         ,kiasan
499 ,candramawa     ,kucing hitam
500 ,cangkem        ,mulut
501 ,cangking       ,jinjing
502 ,cangkir        ,cangkir
503 ,cangklong      ,pipa
504 ,cangklong      ,menyandang di bahu misalnya tas
505 ,canthas        ,bicaranya lantang untuk wanita
506 ,canthil        ,sejenis jagung
507 ,cantheng       ,radang di jari umumnya di ibu jari kaki akibat tertusuk kuku
508 ,canthing       ,alat untuk membatik
509 ,canthol        ,cantol
510 ,cantrik        ,murid padepokan
511 ,capil          ,topi petani bentuknya bulat  berujung runcing
512 ,caping         ,topi petani  bentuknya bulat  berujung runcing
513 ,caplak         ,penyakit kulit
514 ,caplok         ,memasukkan semua ke dalam mulut
515 ,cara           ,cara
516 ,caraka         ,utusan
517 ,carang         ,ranting
518 ,carita         ,cerita
519 ,carup          ,raup
520 ,cathek         ,gigit misalnya anjing
521 ,cathet         ,catat
522 ,catur          ,empat
523 ,caturan        ,bercakap-cakap
524 ,cawang         ,tanda V
525 ,cawa-cawi      ,turun tangan, ikut campur
526 ,cawet          ,celana dalam
527 ,cawik          ,cebok
528 ,cawis          ,sedia
529 ,cawuk          ,mengambil dengan cara menyendokkan tangan
530 ,cecak          ,cicak
531 ,cedhak         ,dekat
532 ,cadhel         ,cadel atau tidak bisa mengucapkan bunyi tertentu dengan benar
533 ,cegat          ,hadang
534 ,cekak          ,tidak mencukupi atau ukurannya tidak memadai atau pendek sekali
535 ,cekakakan      ,tertawa-tawa dengan keras
536 ,cekakik        ,ampas kopi
537 ,cekel          ,pegang
538 ,ceker          ,kaki unggas
539 ,celak          ,penegas garis tepi mata
540 ,celak          ,penegas garis tepi mata
541 ,celak          ,dekat
542 ,celempung      ,alat musik bagian dari gamelan
543 ,celuk          ,panggil
544 ,cemani         ,hitam
545 ,cemawis        ,tersedia
546 ,cemeng         ,anak kucing
547 ,cemeng         ,hitam
548 ,cemet          ,pipih karena tertimpa atau tertekan beban berat
549 ,cemplang       ,tidak sedap atau kurang pas
550 ,cemplung       ,masukdalam cairan
551 ,cendhak        ,pendek
552 ,cengkir        ,buah kelapa yang masih sebesar kepalan belum berdaging buah
553 ,cepak          ,tersedia atau siap
554 ,cepak-cepak    ,siap-siap
555 ,cepeng         ,pegang
556 ,ceplus         ,gigit
557 ,cepuk          ,wadah kecil atau biasanya untuk menyimpan perhiasan
558 ,cerek          ,tanda bunyi re pada aksara Jawa
559 ,ceret          ,cerek
560 ,ceriwis        ,banyak bicara
561 ,cetha          ,jelas
562 ,cethek         ,dangkal
563 ,cethik         ,menyalakan misalnya api
564 ,cethil         ,pelit
565 ,cethok         ,sendok semen
566 ,cethot         ,cubit besar
567 ,cicil          ,angsur
568 ,cicip          ,merasai
569 ,cidra          ,curi atau culik
570 ,cidra          ,tidak menepati janji
571 ,cilaka         ,celaka
572 ,cilik          ,kecil
573 ,cingak         ,terkejut karena heran
574 ,climan         ,kecil-kecilan
575 ,clingus        ,pemalu atau tidak percaya diri
576 ,clomotan       ,berteriak tak beraturan atau bersahutan
577 ,cluluk         ,tiba-tiba berkata
578 ,cluluk         ,tiba-tiba berkata
579 ,cluthak        ,suka mencuri makanan untuk hewan terutama kucing
580 ,cocot          ,mulut tapi kasar
581 ,colok          ,penerangan atau obor
582 ,colong         ,curi
583 ,congor         ,hidung binatang berkaki empat
584 ,contheng       ,coret silang
585 ,coplok         ,tanggal
586 ,copot          ,tanggal atau cabut
587 ,coro           ,kecoa
588 ,cotho          ,repot karena ditinggalkan atau kehilangan andalan
589 ,crah           ,bercerai atau saling bermusuhan
590 ,cubles         ,menusuk dengan benda runcing
591 ,cubluk         ,bodoh
592 ,cucakrawa      ,nama burung
593 ,cucuk          ,paruh
594 ,culek          ,mencolok mata
595 ,culik          ,culik
596 ,culik          ,mengambil sebagian nasi yang sedang dimasak
597 ,cundrik        ,keris kecil
598 ,cunduk         ,tusuk
599 ,cungkup        ,atap makam
600 ,cupet          ,terbatas
601 ,cupu           ,wadah kecil biasanya untuk menyimpan perhiasan
602 ,curek          ,kotoran telinga
603 ,cures          ,habis atau tertumpas
604 ,curut          ,tikus bermoncong runcing
605 ,cuthik         ,tongkat penunjuk atau potongan dahan
606 ,cuwa           ,kecewa
607 ,cuwil          ,mengambil sebagian kecil
608 ,cuwil          ,terkoyak atau terpotong  atau pecah  sedikit di bagian tepi
609 ,dadak          ,harus atau terpaksa
610 ,dadakan        ,pemicu timbulnya permasalahan
611 ,dadakan        ,tanpa rencana
612 ,dadar          ,makanan atau telor digoreng melebar tipis
613 ,dadi-dadian    ,jadi-jadian
614 ,dadi           ,jadi
615 ,dados          ,jadi
616 ,dagang         ,berdagang
617 ,dahana         ,api
618 ,dahuru         ,huru-hara
619 ,dahwan         ,suka mencerca
620 ,dalah          ,dan atau bersama dengan
621 ,dalan          ,jalan
622 ,dalem          ,rumah
623 ,dalu           ,malam
624 ,damar          ,lak
625 ,damar          ,pelita
626 ,daman          ,barang padi
627 ,dami           ,jerami nangka
628 ,damu           ,tiup
629 ,danawa         ,raksasa
630 ,dandan         ,bersolek atau merias diri
631 ,dandan-dandan  ,memperbaiki bangunan
632 ,dandang        ,periuk nasi
633 ,dandos         ,perbaiki
634 ,dapur          ,wajah atau dapur
635 ,dara           ,burung dara
636 ,dara           ,betina muda untuk ayam
637 ,darba          ,milik atau mempunyai
638 ,darma          ,darma atau kewajiban dalam hidup
639 ,dasa           ,puluh
640 ,dawa           ,panjang
641 ,dawet          ,cendol
642 ,daya           ,daya
643 ,daya-daya      ,bersegera
644 ,duduh          ,bukan
645 ,degan          ,kelapa muda
646 ,deling         ,bambu
647 ,demek          ,pegang
648 ,dene           ,sedangkan
649 ,dengkul        ,lutut
650 ,desa           ,desa
651 ,dewa           ,dewa
652 ,dhadha         ,mengakui kesalahan
653 ,dhadha         ,dada
654 ,dhadhak        ,getah
655 ,dhadhakmerak   ,pemain dalam kesenian reog yang memakai hiasan bulu merak di kepalanya
656 ,dhadhal        ,runtuh terbawa arus air
657 ,dhadhu         ,dadu
658 ,dhadhung       ,tali
659 ,dhagelan       ,lawak
660 ,dhalang        ,dalang
661 ,dhangka        ,tempat asal
662 ,dhawah         ,jatuh
663 ,dhawuh         ,ucapan atau perintah atau memerintahkan
664 ,dhayoh         ,tamu
665 ,dhedhe         ,berjemur
666 ,dhedhet        ,terlepas jahitannya
667 ,dhedhus        ,bau harum yang keluar dari tubuh musang
668 ,dhedhes        ,mendesak seseorang dengan pertanyaan agar ybs mengaku atau membuka rahasia
669 ,dhemen         ,suka
670 ,dhempet        ,melekat atau rapat
671 ,dhendheng      ,daging dikeringkan dengan bumbu tertentu
672 ,dhewekan       ,sendiri atau sendirian
673 ,dhidhis        ,mencari kutu di kepala sendiril
674 ,dhingklang     ,pincang
675 ,dhingkluk      ,tunduk atau menghadak ke bawah
676 ,dhodhog        ,ketuk pintu
677 ,dhodhos        ,lubangi dari bawah
678 ,dhompol        ,untaian dalam 1 tangkai untuk buah
679 ,dhondhong      ,nama buah
680 ,dhongkol       ,mantan pejabat
681 ,dhoyong        ,miring
682 ,dhudha         ,duda
683 ,dhupak         ,tendang menggunakan tumit
684 ,dhuwit         ,uang
685 ,dhuwur         ,tinggi
686 ,dingklik       ,bangku kecil
687 ,disik          ,terlebih dulu
688 ,dluwang        ,kertas
689 ,dolan          ,bertandang
690 ,dolanan        ,bermain atau mainan atau permainan
691 ,donga          ,doa
692 ,dora           ,tidak terus terang
693 ,dosa           ,dosa
694 ,dringis        ,bunga sirih
695 ,driji          ,jari
696 ,dubang         ,ludah merah atau ludah orang yang makan sirih
697 ,duduh          ,kuah
698 ,duduh          ,beritahu
699 ,dugang         ,tendang dengan lutut
700 ,dulit          ,colek
701 ,dulur          ,saudara
702 ,dumuk          ,sentuh
703 ,dumunung       ,berada atau bertempat
704 ,dunung         ,tempat
705 ,duratmaka      ,pencuri
706 ,duren          ,durian
707 ,durung         ,belum
708 ,dustha         ,curi
709 ,duwa           ,tentang atau lawan atau tidak menyetujui
710 ,dwi            ,dua
711 ,enak           ,enak
712 ,edan           ,gila
713 ,eden           ,ejan
714 ,endhum         ,terlindung dari sinar matahari
715 ,edi            ,indah
716 ,eka            ,satu
717 ,elar           ,bulu unggas
718 ,elek           ,jelek
719 ,eling          ,ingat atau sadar
720 ,elok           ,aneh atau ajaib
721 ,eluk           ,tekuk
722 ,eman           ,sayang kalau hilang atau rusak
723 ,embah          ,nenek atau kakek
724 ,embuh          ,entah
725 ,emoh           ,tidak mau
726 ,emplok         ,memasukkan ke mulut
727 ,empuk          ,lembut
728 ,emut           ,kulum
729 ,emut-emut      ,ingat
730 ,enak           ,enak
731 ,encer          ,cair
